case,K,R,P,protocol,lam,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,admissible,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,n5_gt,n6_gt,n7_gt,n_atoms_gt,n_atoms_init_recon,atom_recon_err,ring_l1_init,tau_init_57,nx_sweep,Ef_rel
T0_pristine,K2,R2,P3,K2/R2/P3,0.01,1024,256,148,0.00392156862745098,0.09821016919238727,0.07803068743247844,0.20547242638772517,True,15000,True,2.220446049250313e-16,49.33660805999323,0.0009138758350609306,0.8200892266421084,False,1024,1028,0,0,436,0,0,437,1.0,0,17,0,445,0,1024,1024,0.0,0.020224719101123594,1.0,256,
T0_pristine,K2,R2,P3,K2/R2/P3,0.01,1024,384,222,0.0026109660574412533,0.09966392497901923,0.07783549761225361,0.21902034634257914,True,14000,True,0.0,55.82056985049078,0.00046068133076836236,0.8303999324617609,False,1024,1038,0,0,440,0,0,426,1.0,0,53,0,445,0,1024,1024,0.0,0.011235955056179775,1.0,384,
T0_pristine,K2,R2,P3,K2/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.10031337129676889,0.07773723032834015,0.2250561483138581,True,13600,True,0.0,58.530914491618326,0.00035024802161659827,0.8347147898969051,False,1024,1043,0,0,435,0,0,425,1.0,0,72,0,445,0,1024,1024,0.0,0.02247191011235955,1.0,512,
T0_pristine,K2,R2,P3,K2/R2/P3,0.01,1024,768,444,0.001303780964797914,0.10073497551991718,0.0776379645982047,0.22928492117562263,True,13000,True,2.220446049250313e-16,60.53779255320147,0.00023538239825514904,0.8376427573820474,False,1024,1044,0,0,439,0,0,429,1.0,0,66,0,445,0,1024,1024,0.0,0.01348314606741573,1.0,768,0.0
T0_pristine,K3,R2,P3,K3/R2/P3,0.01,1024,256,148,0.00392156862745098,0.08876286626188921,0.07794405596935824,0.1218844179795947,True,9600,True,0.0,36.14467694414349,0.001066818608851677,0.7278723892074288,False,1010,967,0,0,428,2,0,391,nan,6,96,0,445,0,1024,1010,0.013671875,0.038202247191011236,1.0,256,
T0_pristine,K3,R2,P3,K3/R2/P3,0.01,1024,384,222,0.0026109660574412533,0.0892193127471027,0.07774260318960348,0.12863481239796828,True,8800,True,2.220446049250313e-16,40.61761049658077,0.0004465001051994708,0.7382688032424107,False,1021,1005,0,0,438,0,0,401,1.0,0,133,0,445,0,1024,1021,0.0029296875,0.015730337078651686,1.0,384,
T0_pristine,K3,R2,P3,K3/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.09013904723831914,0.07764862055131014,0.13856843476485273,True,8800,True,2.220446049250313e-16,43.7146379742249,0.0003444219775683166,0.7521712005083628,False,1019,1005,0,0,441,0,0,403,1.0,2,120,0,445,0,1024,1019,0.0048828125,0.008988764044943821,1.0,512,
T0_pristine,K3,R2,P3,K3/R2/P3,0.01,1024,768,444,0.001303780964797914,0.08939002709639997,0.07753941738364308,0.132571944518788,True,8000,True,1.1102230246251565e-16,43.57175980618061,0.0002320326032807138,0.7440806358503177,False,1021,990,0,0,441,0,0,402,1.0,0,112,0,445,0,1024,1021,0.0029296875,0.008988764044943821,1.0,768,0.0
T0_pristine,K3,R2,P4,K3/R2/P4,0.01,1024,256,148,0.00392156862745098,0.09249192826141518,0.08222337389836715,0.11102108644578625,True,8400,True,0.0,34.919346677447024,0.0010952723474560776,0.7100028266546698,False,1010,953,0,0,428,2,0,400,nan,6,89,0,445,0,1024,1010,0.013671875,0.038202247191011236,1.0,256,
T0_pristine,K3,R2,P4,K3/R2/P4,0.01,1024,384,222,0.0026109660574412533,0.09303528321008586,0.08211994139417993,0.1173247550744556,True,7800,True,2.220446049250313e-16,39.325258175554026,0.00042844382868491965,0.7208385923707116,False,1021,997,0,0,438,0,0,408,1.0,0,111,0,445,0,1024,1021,0.0029296875,0.015730337078651686,1.0,384,
