case,case_id,kernel,tier,r_bond_factor,r_bond_nd,n5_gt,n7_gt,ringL1_init,ringL1_relaxed,n5_relaxed,n7_relaxed,healthy,nmax
T0_pristine,T0,K2,correct,1.3,0.02664,0,0,0.0,0.0,0,0,True,0.922
T0_pristine,T0,K2,correct,1.4,0.02869,0,0,0.0,0.0,0,0,True,0.922
T0_pristine,T0,K2,correct,1.5,0.03074,0,0,0.0,0.0,0,0,True,0.922
T0_pristine,T0,K3,correct,1.3,0.02664,0,0,0.0022,0.0265,0,0,True,0.693
T0_pristine,T0,K3,correct,1.4,0.02869,0,0,0.0022,0.0265,0,0,True,0.693
T0_pristine,T0,K3,correct,1.5,0.03074,0,0,0.0022,0.0265,0,0,True,0.693
T0_pristine,T0,K1@470_fair,correct,1.3,0.02664,0,0,0.0,0.0332,0,0,True,0.575
T0_pristine,T0,K1@470_fair,correct,1.4,0.02869,0,0,0.0,0.0332,0,0,True,0.575
T0_pristine,T0,K1@470_fair,correct,1.5,0.03074,0,0,0.0,0.0332,0,0,True,0.575
T0_pristine,T0,K1@200_default,wrong,1.3,0.02664,0,0,1.0,0.8208,0,0,True,0.839
T0_pristine,T0,K1@200_default,wrong,1.4,0.02869,0,0,1.0,0.8208,0,0,True,0.839
T0_pristine,T0,K1@200_default,wrong,1.5,0.03074,0,0,1.0,0.8208,0,0,True,0.839
T0_pristine,T0,K4,wrong,1.3,0.02664,0,0,1.0,1.0,0,0,True,1.01
T0_pristine,T0,K4,wrong,1.4,0.02869,0,0,1.0,1.0,0,0,True,1.01
T0_pristine,T0,K4,wrong,1.5,0.03074,0,0,1.0,1.0022,0,0,True,1.01
T1_vacancy,T1,K2,correct,1.3,0.02664,0,0,0.0,0.0,0,0,True,0.921
T1_vacancy,T1,K2,correct,1.4,0.02869,0,0,0.0,0.0,0,0,True,0.921
T1_vacancy,T1,K2,correct,1.5,0.03074,0,0,0.0,0.0,0,0,True,0.921
T1_vacancy,T1,K3,correct,1.3,0.02664,0,0,0.0324,0.0065,0,0,True,0.675
