case,kernel,n5_gt,n7_gt,ringL1_init,ringL1_relaxed,n5_relaxed,n7_relaxed,healthy,nmax
T0_pristine,K1@200_default,0,0,2.9181,0.8208,0,0,True,0.839
T0_pristine,K1@470_fair,0,0,0.0,0.0332,0,0,True,0.575
T0_pristine,K2,0,0,0.0,0.0,0,0,True,0.922
T0_pristine,K3,0,0,0.0022,0.0265,0,0,True,0.693
T0_pristine,K4,0,0,1.5642,1.7478,2,0,True,1.01
T1_vacancy,K1@200_default,0,0,2.8877,0.7149,0,0,True,1.073
T1_vacancy,K1@470_fair,0,0,0.0,0.041,0,0,True,0.577
T1_vacancy,K2,0,0,0.0,0.0,0,0,True,0.921
T1_vacancy,K3,0,0,0.0324,0.0065,0,0,True,0.675
T1_vacancy,K4,0,0,1.4622,1.7127,3,3,True,1.101
T2_stone_wales,K1@200_default,2,2,2.8512,0.8425,4,0,True,0.795
T2_stone_wales,K1@470_fair,2,2,0.0,0.0416,1,0,True,0.564
T2_stone_wales,K2,2,2,0.0,0.0066,1,0,True,0.921
T2_stone_wales,K3,2,2,0.0175,0.0263,1,0,True,0.728
T2_stone_wales,K4,2,2,1.3654,1.523,3,1,True,1.09
T3_dislocation_dipole,K1@200_default,0,0,2.3226,1.7043,17,7,True,0.647
T3_dislocation_dipole,K1@470_fair,0,0,0.0,0.0806,0,0,True,0.571
T3_dislocation_dipole,K2,0,0,0.0,0.0215,0,0,True,1.274
T3_dislocation_dipole,K3,0,0,0.0296,0.0081,0,0,True,0.803
T3_dislocation_dipole,K4,0,0,2.4194,2.672,2,0,True,0.913
T4_low_angle_gb,K1@200_default,1,0,2.3592,2.244,6,1,True,0.588
T4_low_angle_gb,K1@470_fair,1,0,0.0027,0.0134,0,0,True,0.564
T4_low_angle_gb,K2,1,0,0.0,0.0322,0,0,True,1.292
T4_low_angle_gb,K3,1,0,0.0054,0.0349,0,0,True,0.849
T4_low_angle_gb,K4,1,0,1.0295,1.244,0,1,True,0.601
T5_high_angle_gb,K1@200_default,1,0,2.0625,1.8932,21,2,True,0.491
T5_high_angle_gb,K1@470_fair,1,0,0.0365,0.0755,2,0,True,0.575
T5_high_angle_gb,K2,1,0,0.0078,0.0573,0,0,True,1.284
T5_high_angle_gb,K3,1,0,0.0156,0.0625,0,0,True,0.749
T5_high_angle_gb,K4,1,0,1.0651,1.4688,10,4,True,0.773
