family,regime,knob,value,sigma_equiv,mean_ringL1,max_ringL1,ringL1_T0,ringL1_T1,ringL1_T2,ringL1_T3,ringL1_T4,ringL1_T5
K1,band,k_cut,500.0,0.002,0.02119247620766106,0.040106951871657755,0.02696629213483146,0.013157894736842105,0.024498886414253896,0.014044943820224719,0.008379888268156424,0.040106951871657755
K1,band,k_cut,333.0,0.003003003003003003,0.22132114936234348,0.3574561403508772,0.25842696629213485,0.3574561403508772,0.3184855233853007,0.008426966292134831,0.18994413407821228,0.19518716577540107
K1,band,k_cut,250.0,0.004,0.10930517296893728,0.28212290502793297,0.0044943820224719105,0.06140350877192982,0.0378619153674833,0.05337078651685393,0.28212290502793297,0.21657754010695188
K1,band,k_cut,200.0,0.005,2.5263727727998186,3.0,2.703370786516854,3.0,2.750556792873051,2.3707865168539324,2.2960893854748603,2.037433155080214
K1,band,k_cut,167.0,0.005988023952095809,1.844027807897792,2.0153508771929824,1.946067415730337,2.0153508771929824,1.9910913140311803,1.7780898876404494,1.73463687150838,1.5989304812834224
K1,band,k_cut,125.0,0.008,1.4539076774282211,1.6741573033707866,1.6741573033707866,1.4714912280701755,1.5612472160356348,1.3876404494382022,1.388268156424581,1.2406417112299466
K1,band,k_cut,100.0,0.01,1.2599568774841368,1.355056179775281,1.355056179775281,1.3486842105263157,1.311804008908686,1.2668539325842696,1.170391061452514,1.106951871657754
K1,band,k_cut,67.0,0.014925373134328358,1.1161919118956167,1.1951754385964912,1.152808988764045,1.1951754385964912,1.1670378619153674,1.101123595505618,1.0810055865921788,1.0
K1,band,k_cut,50.0,0.02,1.0317709985808832,1.0629213483146067,1.0629213483146067,1.0592105263157894,1.0489977728285078,1.0112359550561798,1.005586592178771,1.0026737967914439
K1,band,k_cut,33.0,0.030303030303030304,1.0119203253560947,1.042316258351893,1.0269662921348315,1.013157894736842,1.042316258351893,1.002808988764045,0.9916201117318436,0.9946524064171123
K1,band,k_cut,20.0,0.05,1.0022392821426165,1.006578947368421,1.0044943820224719,1.006578947368421,1.0022271714922049,1.002808988764045,1.0,0.9973262032085561
K1,wide,k_cut,20.0,0.05,1.0022392821426165,1.006578947368421,1.0044943820224719,1.006578947368421,1.0022271714922049,1.002808988764045,1.0,0.9973262032085561
K1,wide,k_cut,30.0,0.03333333333333333,1.0065846410650103,1.0157303370786517,1.0157303370786517,1.0109649122807018,1.0155902004454342,1.002808988764045,0.994413407821229,1.0
K1,wide,k_cut,33.0,0.030303030303030304,1.0119203253560947,1.042316258351893,1.0269662921348315,1.013157894736842,1.042316258351893,1.002808988764045,0.9916201117318436,0.9946524064171123
K1,wide,k_cut,40.0,0.025,1.020372910846652,1.037280701754386,1.0337078651685394,1.037280701754386,1.0311804008908685,1.0280898876404494,1.0,0.9919786096256684
K1,wide,k_cut,50.0,0.02,1.0317709985808832,1.0629213483146067,1.0629213483146067,1.0592105263157894,1.0489977728285078,1.0112359550561798,1.005586592178771,1.0026737967914439
K1,wide,k_cut,60.0,0.016666666666666666,1.072428026471839,1.1271929824561404,1.1258426966292134,1.1271929824561404,1.1046770601336302,1.0646067415730338,1.0363128491620113,0.9759358288770054
K1,wide,k_cut,67.0,0.014925373134328358,1.1161919118956167,1.1951754385964912,1.152808988764045,1.1951754385964912,1.1670378619153674,1.101123595505618,1.0810055865921788,1.0
