case,K,R,P,protocol,nx,ny,dx,n_atoms_gt,n_peaks,peak_count_err,min_sep_nd,ring_l1_sssr,n5_gt_sssr,n6_gt_sssr,n7_gt_sssr,n5_pk_sssr,n6_pk_sssr,n7_pk_sssr,ring_l1_delaunay,n5_gt_del,n6_gt_del,n7_gt_del,n5_pk_del,n6_pk_del,n7_pk_del,coord_f1,coord_f1_mismatch,coord_precision,coord_recall,coord_n_matched,bond_angle_l1,loc_rms,loc_matched_frac
T0_pristine,K1,R2,P3,K1/R2/P3,512,296,0.0019569471624266144,1024,488,0.5234375,0.014344043427230054,2.651685393258427,0,445,0,0,0,0,2.9070796460176993,0,452,0,0,0,0,0.0,1.0,0.0,0.0,388,0.7000156813548689,0.011053531958473282,0.46484375
T0_pristine,K2,R2,P3,K2/R2/P3,512,296,0.0019569471624266144,1024,1024,0.0,0.014344043427230054,0.02247191011235955,0,445,0,0,435,0,0.0,0,452,0,0,452,0,1.0,0.0,1.0,1.0,854,0.10826909600560615,0.0008220430201562744,1.0
T0_pristine,K3,R2,P3,K3/R2/P3,512,296,0.0019569471624266144,1024,1019,0.0048828125,0.014344043427230054,0.008988764044943821,0,445,0,0,441,0,0.0022123893805309734,0,452,0,0,451,0,0.9988276670574443,0.0011723329425556983,1.0,0.9976580796252927,854,0.10351048481856248,0.0008216164081819909,0.9951171875
T0_pristine,K3,R2,P4,K3/R2/P4,512,296,0.0019569471624266144,1024,1019,0.0048828125,0.014344043427230054,0.008988764044943821,0,445,0,0,441,0,0.0022123893805309734,0,452,0,0,451,0,0.9988276670574443,0.0011723329425556983,1.0,0.9976580796252927,854,0.10351048481856248,0.0008216164081819909,0.9951171875
T0_pristine,K4,R2,P3,K4/R2/P3,512,296,0.0019569471624266144,1024,325,0.6826171875,0.014344043427230054,1.5707865168539326,0,445,0,1,5,6,1.4646017699115044,0,452,0,0,0,0,0.37606837606837606,0.6239316239316239,1.0,0.23157894736842105,285,0.7936412717456508,0.0036795505475823087,0.3173828125
T1_vacancy,K1,R2,P3,K1/R2/P3,512,296,0.0019569471624266144,1023,518,0.49364613880742914,0.01434484004669839,2.892543859649123,0,456,0,0,0,0,3.042222222222222,0,450,0,0,0,0,0.0,1.0,0.0,0.0,393,0.7480146035924092,0.010673986304860569,0.4946236559139785
T1_vacancy,K2,R2,P3,K2/R2/P3,512,296,0.0019569471624266144,1023,1023,0.0,0.01434484004669839,0.015350877192982455,0,456,0,0,449,0,0.02666666666666667,0,450,0,0,462,0,1.0,0.0,1.0,1.0,839,0.05743125652627918,0.0008250270691443806,1.0
T1_vacancy,K3,R2,P3,K3/R2/P3,512,296,0.0019569471624266144,1023,1007,0.015640273704789834,0.01434484004669839,0.03508771929824561,0,456,0,0,440,0,0.006666666666666667,0,450,0,0,447,0,1.0,0.0,1.0,1.0,839,0.05903271692745379,0.0008230570654640459,0.9843597262952102
T1_vacancy,K3,R2,P4,K3/R2/P4,512,296,0.0019569471624266144,1023,1007,0.015640273704789834,0.01434484004669839,0.03508771929824561,0,456,0,0,440,0,0.006666666666666667,0,450,0,0,447,0,1.0,0.0,1.0,1.0,839,0.05903271692745379,0.0008230570654640459,0.9843597262952102
T1_vacancy,K4,R2,P3,K4/R2/P3,512,296,0.0019569471624266144,1023,324,0.6832844574780058,0.01434484004669839,1.4824561403508771,0,456,0,0,8,4,1.431111111111111,0,450,0,0,0,0,0.44686648501362397,0.5531335149863761,1.0,0.28771929824561404,285,0.7897754674670334,0.0036916227269294093,0.31671554252199413
T2_stone_wales,K1,R2,P3,K1/R2/P3,512,296,0.0019569471624266144,1024,495,0.5166015625,0.014340335558869047,2.694877505567929,2,446,1,2,0,0,2.9953596287703017,2,429,0,0,0,0,0.0,1.0,0.0,0.0,405,0.7286889206717426,0.01097902907248959,0.4755859375
T2_stone_wales,K2,R2,P3,K2/R2/P3,512,296,0.0019569471624266144,1024,1024,0.0,0.014340335558869047,0.0378619153674833,2,446,1,2,429,1,0.05568445475638051,2,429,0,2,453,0,1.0,0.0,1.0,1.0,884,0.08484636871508378,0.0008165768048087245,1.0
T2_stone_wales,K3,R2,P3,K3/R2/P3,512,296,0.0019569471624266144,1024,1024,0.0,0.014340335558869047,0.022271714922048998,2,446,1,2,436,1,0.05568445475638051,2,429,0,2,453,0,1.0,0.0,1.0,1.0,884,0.08554469273743015,0.0008183374596154221,1.0
T2_stone_wales,K3,R2,P4,K3/R2/P4,512,296,0.0019569471624266144,1024,1024,0.0,0.014340335558869047,0.022271714922048998,2,446,1,2,436,1,0.05568445475638051,2,429,0,2,453,0,1.0,0.0,1.0,1.0,884,0.08554469273743015,0.0008183374596154221,1.0
T2_stone_wales,K4,R2,P3,K4/R2/P3,512,296,0.0019569471624266144,1024,301,0.7060546875,0.014340335558869047,1.3697104677060135,2,446,1,1,7,5,1.345707656612529,2,429,0,0,0,0,0.5133689839572193,0.4866310160427807,1.0,0.34532374100719426,278,0.8314339073445496,0.004009358971205858,0.2939453125
T3_dislocation_dipole,K1,R2,P3,K1/R2/P3,512,198,0.0019569471624266144,856,333,0.610981308411215,0.012749442115102124,2.292134831460674,0,356,0,0,3,0,2.446107784431138,0,334,0,0,0,0,0.0,1.0,0.0,0.0,246,0.895967009046603,0.010236747403532784,0.3866822429906542
T3_dislocation_dipole,K2,R2,P3,K2/R2/P3,512,198,0.0019569471624266144,856,856,0.0,0.012749442115102124,0.014044943820224719,0,356,0,0,361,0,0.02694610778443114,0,334,0,0,325,0,1.0,0.0,1.0,1.0,672,0.13597612958226768,0.0007883333302741767,1.0
T3_dislocation_dipole,K3,R2,P3,K3/R2/P3,512,198,0.0019569471624266144,856,856,0.0,0.012749442115102124,0.033707865168539325,0,356,0,0,368,0,0.03293413173652695,0,334,0,0,323,0,1.0,0.0,1.0,1.0,672,0.13853367433930094,0.0007976417478915019,1.0
T3_dislocation_dipole,K3,R2,P4,K3/R2/P4,512,198,0.0019569471624266144,856,856,0.0,0.012749442115102124,0.033707865168539325,0,356,0,0,368,0,0.03293413173652695,0,334,0,0,323,0,1.0,0.0,1.0,1.0,672,0.13853367433930094,0.0007976417478915019,1.0
T3_dislocation_dipole,K4,R2,P3,K4/R2/P3,512,198,0.0019569471624266144,856,354,0.5864485981308412,0.012749442115102124,2.3230337078651684,0,356,0,2,1,0,2.197604790419162,0,334,0,0,0,0,0.07476635514018691,0.9252336448598131,1.0,0.038834951456310676,309,0.6634278944973562,0.002471584674076585,0.4135514018691589
T4_low_angle_gb,K1,R2,P3,K1/R2/P3,512,198,0.0019569471624266144,862,343,0.6020881670533643,0.012774592485546146,2.2486033519553073,1,351,0,4,3,0,2.349862258953168,1,358,0,0,0,0,0.014925373134328356,0.9850746268656716,1.0,0.007518796992481203,270,0.8183144706128243,0.009907283474881286,0.39791183294663574
T4_low_angle_gb,K2,R2,P3,K2/R2/P3,512,198,0.0019569471624266144,862,862,0.0,0.012774592485546146,0.0,1,351,0,1,351,0,0.01928374655647383,1,358,0,1,365,0,1.0,0.0,1.0,1.0,710,0.22957034540859309,0.0008036186505650096,1.0
T4_low_angle_gb,K3,R2,P3,K3/R2/P3,512,198,0.0019569471624266144,862,862,0.0,0.012774592485546146,0.025139664804469275,1,351,0,1,360,0,0.01928374655647383,1,358,0,1,365,0,1.0,0.0,1.0,1.0,710,0.22830665543386688,0.0008037786617360813,1.0
T4_low_angle_gb,K3,R2,P4,K3/R2/P4,512,198,0.0019569471624266144,862,862,0.0,0.012774592485546146,0.025139664804469275,1,351,0,1,360,0,0.01928374655647383,1,358,0,1,365,0,1.0,0.0,1.0,1.0,710,0.22830665543386688,0.0008037786617360813,1.0
T4_low_angle_gb,K4,R2,P3,K4/R2/P3,512,198,0.0019569471624266144,862,180,0.7911832946635731,0.012774592485546146,1.0307262569832403,1,351,0,1,2,2,1.0275482093663912,1,358,0,1,2,2,0.36666666666666664,0.6333333333333333,1.0,0.22448979591836735,148,0.8429465201178138,0.0043957393162685696,0.2088167053364269
T5_high_angle_gb,K1,R2,P3,K1/R2/P3,512,198,0.0019569471624266144,861,326,0.6213704994192799,0.012761276612215851,2.0294117647058822,1,356,0,5,1,0,2.041551246537396,1,346,0,0,0,0,0.02316602316602317,0.9768339768339769,0.75,0.011764705882352941,262,0.8304982093954076,0.009254507948891901,0.3786295005807201
T5_high_angle_gb,K2,R2,P3,K2/R2/P3,512,198,0.0019569471624266144,861,861,0.0,0.012761276612215851,0.0106951871657754,1,356,0,1,356,0,0.060941828254847646,1,346,0,1,365,0,0.9992821249102656,0.000717875089734421,0.9985652797704447,1.0,714,0.28736698659522547,0.0008000997803555304,1.0
T5_high_angle_gb,K3,R2,P3,K3/R2/P3,512,198,0.0019569471624266144,861,860,0.0011614401858304297,0.012761276612215851,0.008021390374331552,1,356,0,1,356,0,0.05817174515235457,1,346,0,1,364,0,0.9985632183908046,0.001436781609195359,0.9985632183908046,0.9985632183908046,714,0.2825974267546937,0.000801072013654697,0.9988385598141696
T5_high_angle_gb,K3,R2,P4,K3/R2/P4,512,198,0.0019569471624266144,861,860,0.0011614401858304297,0.012761276612215851,0.008021390374331552,1,356,0,1,356,0,0.05817174515235457,1,346,0,1,364,0,0.9985632183908046,0.001436781609195359,0.9985632183908046,0.9985632183908046,714,0.2825974267546937,0.000801072013654697,0.9988385598141696
T5_high_angle_gb,K4,R2,P3,K4/R2/P3,512,198,0.0019569471624266144,861,198,0.7700348432055749,0.012761276612215851,1.0641711229946524,1,356,0,5,1,3,1.0554016620498614,1,346,0,0,0,0,0.4170616113744076,0.5829383886255923,1.0,0.2634730538922156,167,0.7562010685373468,0.0041548686395280615,0.22996515679442509
