corner,case,case_key,kernel,tier,c2_h1,c2_h2,w_ratio,n5_gt,n7_gt,ringL1_init,ringL1_relaxed,n5_relaxed,n7_relaxed,healthy,nmax
baseline,T0_pristine,T0,K2,good,1.05,0.6,0.1,0,0,0.0,0.0,0,0,True,0.9222
baseline,T0_pristine,T0,K3,good,1.05,0.6,0.1,0,0,0.0022,0.0265,0,0,True,0.6927
baseline,T0_pristine,T0,K1@200,bad,1.05,0.6,0.1,0,0,2.9181,0.8208,0,0,True,0.8391
baseline,T0_pristine,T0,K4,bad,1.05,0.6,0.1,0,0,1.5642,1.7478,2,0,True,1.0104
baseline,T1_vacancy,T1,K2,good,1.05,0.6,0.1,0,0,0.0,0.0,0,0,True,0.9212
baseline,T1_vacancy,T1,K3,good,1.05,0.6,0.1,0,0,0.0324,0.0065,0,0,True,0.6752
baseline,T1_vacancy,T1,K1@200,bad,1.05,0.6,0.1,0,0,2.8877,0.7149,0,0,True,1.073
baseline,T1_vacancy,T1,K4,bad,1.05,0.6,0.1,0,0,1.4622,1.7127,3,3,True,1.101
baseline,T2_stone_wales,T2,K2,good,1.05,0.6,0.1,2,2,0.0,0.0066,1,0,True,0.921
baseline,T2_stone_wales,T2,K3,good,1.05,0.6,0.1,2,2,0.0175,0.0263,1,0,True,0.7281
baseline,T2_stone_wales,T2,K1@200,bad,1.05,0.6,0.1,2,2,2.8512,0.8425,4,0,True,0.795
baseline,T2_stone_wales,T2,K4,bad,1.05,0.6,0.1,2,2,1.3654,1.523,3,1,True,1.0896
baseline,T3_dislocation_dipole,T3,K2,good,1.05,0.6,0.1,0,0,0.0,0.0215,0,0,True,1.2743
baseline,T3_dislocation_dipole,T3,K3,good,1.05,0.6,0.1,0,0,0.0296,0.0081,0,0,True,0.8033
baseline,T3_dislocation_dipole,T3,K1@200,bad,1.05,0.6,0.1,0,0,2.3226,1.7043,17,7,True,0.6466
baseline,T3_dislocation_dipole,T3,K4,bad,1.05,0.6,0.1,0,0,2.4194,2.672,2,0,True,0.913
baseline,T4_low_angle_gb,T4,K2,good,1.05,0.6,0.1,1,0,0.0,0.0322,0,0,True,1.2919
baseline,T4_low_angle_gb,T4,K3,good,1.05,0.6,0.1,1,0,0.0054,0.0349,0,0,True,0.8487
baseline,T4_low_angle_gb,T4,K1@200,bad,1.05,0.6,0.1,1,0,2.3592,2.244,6,1,True,0.5883
baseline,T4_low_angle_gb,T4,K4,bad,1.05,0.6,0.1,1,0,1.0295,1.244,0,1,True,0.601
baseline,T5_high_angle_gb,T5,K2,good,1.05,0.6,0.1,1,0,0.0078,0.0573,0,0,True,1.2841
baseline,T5_high_angle_gb,T5,K3,good,1.05,0.6,0.1,1,0,0.0156,0.0625,0,0,True,0.7491
baseline,T5_high_angle_gb,T5,K1@200,bad,1.05,0.6,0.1,1,0,2.0625,1.8932,21,2,True,0.4907
baseline,T5_high_angle_gb,T5,K4,bad,1.05,0.6,0.1,1,0,1.0651,1.4688,10,4,True,0.7727
C1_lowh1_highw,T0_pristine,T0,K2,good,0.95,0.6,0.13,0,0,0.0,0.0,0,0,True,0.8631
C1_lowh1_highw,T0_pristine,T0,K3,good,0.95,0.6,0.13,0,0,0.0022,0.0022,0,0,True,0.6551
C1_lowh1_highw,T0_pristine,T0,K1@200,bad,0.95,0.6,0.13,0,0,2.9181,0.8363,2,0,True,0.8322
C1_lowh1_highw,T0_pristine,T0,K4,bad,0.95,0.6,0.13,0,0,1.5642,1.7544,4,1,True,1.0081
C1_lowh1_highw,T1_vacancy,T1,K2,good,0.95,0.6,0.13,0,0,0.0,0.0,0,0,True,0.8623
C1_lowh1_highw,T1_vacancy,T1,K3,good,0.95,0.6,0.13,0,0,0.0324,0.0324,0,0,True,0.6392
C1_lowh1_highw,T1_vacancy,T1,K1@200,bad,0.95,0.6,0.13,0,0,2.8877,0.7149,0,0,True,1.074
C1_lowh1_highw,T1_vacancy,T1,K4,bad,0.95,0.6,0.13,0,0,1.4622,1.7538,3,2,True,1.0954
C1_lowh1_highw,T2_stone_wales,T2,K2,good,0.95,0.6,0.13,2,2,0.0,0.0,2,2,True,0.8632
C1_lowh1_highw,T2_stone_wales,T2,K3,good,0.95,0.6,0.13,2,2,0.0175,0.0197,1,0,True,0.6873
C1_lowh1_highw,T2_stone_wales,T2,K1@200,bad,0.95,0.6,0.13,2,2,2.8512,0.8337,4,0,True,0.7854
C1_lowh1_highw,T2_stone_wales,T2,K4,bad,0.95,0.6,0.13,2,2,1.3654,1.5755,2,0,True,1.0918
C1_lowh1_highw,T3_dislocation_dipole,T3,K2,good,0.95,0.6,0.13,0,0,0.0,0.0054,0,0,True,1.1558
C1_lowh1_highw,T3_dislocation_dipole,T3,K3,good,0.95,0.6,0.13,0,0,0.0296,0.0323,0,0,True,0.7356
C1_lowh1_highw,T3_dislocation_dipole,T3,K1@200,bad,0.95,0.6,0.13,0,0,2.3226,1.914,18,6,True,0.6632
C1_lowh1_highw,T3_dislocation_dipole,T3,K4,bad,0.95,0.6,0.13,0,0,2.4194,2.6909,2,0,True,0.9087
C1_lowh1_highw,T4_low_angle_gb,T4,K2,good,0.95,0.6,0.13,1,0,0.0,0.0349,0,0,True,1.1626
C1_lowh1_highw,T4_low_angle_gb,T4,K3,good,0.95,0.6,0.13,1,0,0.0054,0.0188,0,0,True,0.7705
C1_lowh1_highw,T4_low_angle_gb,T4,K1@200,bad,0.95,0.6,0.13,1,0,2.3592,2.2627,11,1,True,0.6153
C1_lowh1_highw,T4_low_angle_gb,T4,K4,bad,0.95,0.6,0.13,1,0,1.0295,1.2011,1,0,True,0.6039
C1_lowh1_highw,T5_high_angle_gb,T5,K2,good,0.95,0.6,0.13,1,0,0.0078,0.0547,0,0,True,1.1538
C1_lowh1_highw,T5_high_angle_gb,T5,K3,good,0.95,0.6,0.13,1,0,0.0156,0.0573,0,0,True,0.6831
C1_lowh1_highw,T5_high_angle_gb,T5,K1@200,bad,0.95,0.6,0.13,1,0,2.0625,1.8906,20,2,True,0.5168
C1_lowh1_highw,T5_high_angle_gb,T5,K4,bad,0.95,0.6,0.13,1,0,1.0651,1.3958,8,6,True,0.7724
C2_highh2_loww,T0_pristine,T0,K2,good,1.05,0.8,0.07,0,0,0.0,0.0288,0,0,True,0.9675
C2_highh2_loww,T0_pristine,T0,K3,good,1.05,0.8,0.07,0,0,0.0022,0.031,0,0,True,0.7347
C2_highh2_loww,T0_pristine,T0,K1@200,bad,1.05,0.8,0.07,0,0,2.9181,0.823,0,0,True,0.7686
C2_highh2_loww,T0_pristine,T0,K4,bad,1.05,0.8,0.07,0,0,1.5642,1.5022,4,2,True,1.0123
C2_highh2_loww,T1_vacancy,T1,K2,good,1.05,0.8,0.07,0,0,0.0,0.0367,0,0,True,0.9675
C2_highh2_loww,T1_vacancy,T1,K3,good,1.05,0.8,0.07,0,0,0.0324,0.0043,0,0,True,0.717
C2_highh2_loww,T1_vacancy,T1,K1@200,bad,1.05,0.8,0.07,0,0,2.8877,0.7279,0,0,True,0.9907
C2_highh2_loww,T1_vacancy,T1,K4,bad,1.05,0.8,0.07,0,0,1.4622,1.6911,6,2,True,1.1064
C2_highh2_loww,T2_stone_wales,T2,K2,good,1.05,0.8,0.07,2,2,0.0,0.0438,0,0,True,0.9733
C2_highh2_loww,T2_stone_wales,T2,K3,good,1.05,0.8,0.07,2,2,0.0175,0.0263,0,0,True,0.7754
C2_highh2_loww,T2_stone_wales,T2,K1@200,bad,1.05,0.8,0.07,2,2,2.8512,0.8293,3,0,True,0.7315
C2_highh2_loww,T2_stone_wales,T2,K4,bad,1.05,0.8,0.07,2,2,1.3654,1.2932,1,3,True,1.0874
C2_highh2_loww,T3_dislocation_dipole,T3,K2,good,1.05,0.8,0.07,0,0,0.0,0.0108,0,0,True,1.3045
C2_highh2_loww,T3_dislocation_dipole,T3,K3,good,1.05,0.8,0.07,0,0,0.0296,0.0108,0,0,True,0.8363
C2_highh2_loww,T3_dislocation_dipole,T3,K1@200,bad,1.05,0.8,0.07,0,0,2.3226,1.2043,30,1,True,0.6405
C2_highh2_loww,T3_dislocation_dipole,T3,K4,bad,1.05,0.8,0.07,0,0,2.4194,2.6452,1,0,True,0.9177
C2_highh2_loww,T4_low_angle_gb,T4,K2,good,1.05,0.8,0.07,1,0,0.0,0.0322,0,1,True,1.3387
C2_highh2_loww,T4_low_angle_gb,T4,K3,good,1.05,0.8,0.07,1,0,0.0054,0.0402,0,1,True,0.8925
C2_highh2_loww,T4_low_angle_gb,T4,K1@200,bad,1.05,0.8,0.07,1,0,2.3592,2.252,11,0,True,0.5457
C2_highh2_loww,T4_low_angle_gb,T4,K4,bad,1.05,0.8,0.07,1,0,1.0295,1.1796,3,0,True,0.5833
C2_highh2_loww,T5_high_angle_gb,T5,K2,good,1.05,0.8,0.07,1,0,0.0078,0.0547,0,0,True,1.3406
C2_highh2_loww,T5_high_angle_gb,T5,K3,good,1.05,0.8,0.07,1,0,0.0156,0.0521,0,0,True,0.7985
C2_highh2_loww,T5_high_angle_gb,T5,K1@200,bad,1.05,0.8,0.07,1,0,2.0625,1.8906,18,0,True,0.4575
C2_highh2_loww,T5_high_angle_gb,T5,K4,bad,1.05,0.8,0.07,1,0,1.0651,1.4219,7,7,True,0.7724
C3_lowh1_lowh2,T0_pristine,T0,K2,good,0.95,0.4,0.1,0,0,0.0,0.0,0,0,True,0.7994
C3_lowh1_lowh2,T0_pristine,T0,K3,good,0.95,0.4,0.1,0,0,0.0022,0.0288,0,0,True,0.6033
C3_lowh1_lowh2,T0_pristine,T0,K1@200,bad,0.95,0.4,0.1,0,0,2.9181,1.3805,47,0,True,0.7781
C3_lowh1_lowh2,T0_pristine,T0,K4,bad,0.95,0.4,0.1,0,0,1.5642,1.719,0,1,True,1.0114
C3_lowh1_lowh2,T1_vacancy,T1,K2,good,0.95,0.4,0.1,0,0,0.0,0.0,0,0,True,0.7984
C3_lowh1_lowh2,T1_vacancy,T1,K3,good,0.95,0.4,0.1,0,0,0.0324,0.0043,0,0,True,0.5884
C3_lowh1_lowh2,T1_vacancy,T1,K1@200,bad,0.95,0.4,0.1,0,0,2.8877,0.7279,0,0,True,0.9854
C3_lowh1_lowh2,T1_vacancy,T1,K4,bad,0.95,0.4,0.1,0,0,1.4622,1.7279,0,2,True,1.1015
C3_lowh1_lowh2,T2_stone_wales,T2,K2,good,0.95,0.4,0.1,2,2,0.0,0.0066,1,0,True,0.7984
C3_lowh1_lowh2,T2_stone_wales,T2,K3,good,0.95,0.4,0.1,2,2,0.0175,0.0219,1,0,True,0.6335
C3_lowh1_lowh2,T2_stone_wales,T2,K1@200,bad,0.95,0.4,0.1,2,2,2.8512,2.4004,16,6,True,0.7369
C3_lowh1_lowh2,T2_stone_wales,T2,K4,bad,0.95,0.4,0.1,2,2,1.3654,1.5799,1,0,True,1.0911
C3_lowh1_lowh2,T3_dislocation_dipole,T3,K2,good,0.95,0.4,0.1,0,0,0.0,0.043,0,0,True,1.0763
C3_lowh1_lowh2,T3_dislocation_dipole,T3,K3,good,0.95,0.4,0.1,0,0,0.0296,0.0081,0,0,True,0.6825
C3_lowh1_lowh2,T3_dislocation_dipole,T3,K1@200,bad,0.95,0.4,0.1,0,0,2.3226,2.2366,11,0,True,0.6528
C3_lowh1_lowh2,T3_dislocation_dipole,T3,K4,bad,0.95,0.4,0.1,0,0,2.4194,2.6694,2,0,True,0.9135
