case,K,R,P,protocol,lam,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,Ef_rel
T0_pristine,K1,R2,P1,K1/R2/P1,0.01,1024,512,296,0.0019569471624266144,439024403821.42377,1.292720874862214e+27,-2944530790566341.0,False,200,2.220446049250313e-16,101749.41165841807,8.625298709705085e-05,3655.795009737588,False,501,1093,0,0,0,0,3,61,nan,359,667,
T0_pristine,K1,R2,P2,K1/R2/P2,0.01,1024,512,296,0.0019569471624266144,0.035061823074250195,0.0012018108939419738,0.9657230917115489,False,20000,2.220446049250313e-16,47.56341483170071,0.00015378433707662523,0.9845001320747234,False,475,185,0,0,0,0,0,0,1.0,344,100,
T0_pristine,K1,R2,P3,K1/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.08818331071581764,0.07763581451296898,0.11960875722662939,True,15400,2.220446049250313e-16,29.516675048688892,8.625298709705087e-05,0.7222749532860312,False,488,457,0,0,0,0,0,2,1.0,345,337,
T0_pristine,K1,R2,P4,K1/R2/P4,0.01,1024,512,296,0.0019569471624266144,0.10273822864696276,0.09584631613287575,0.06708225949436548,True,4400,2.220446049250313e-16,25.230593203431383,0.0002880681501011456,0.6099062746492465,False,488,485,0,0,0,1,0,2,nan,345,384,
T0_pristine,K2,R2,P1,K2/R2/P1,0.01,1024,512,296,0.0019569471624266144,2664936377813.752,2.1097134262532084e+32,-7.916562075616849e+19,False,200,0.0,338285.37333026546,0.00035024802161659854,60184.41594131859,False,1024,972,0,0,435,0,0,132,1.0,0,390,
T0_pristine,K2,R2,P2,K2/R2/P2,0.01,1024,512,296,0.0019569471624266144,18281897.15464534,5.858272815126437e+22,-3204411864683243.5,False,200,0.0,1408.469242921038,0.020976426174889946,4676.515926075223,False,367,386,1,0,0,0,0,0,0.0,226,234,
T0_pristine,K2,R2,P3,K2/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.10031337129676889,0.07773684149436441,0.2250600245067396,True,13400,0.0,58.530914491618326,0.00035024802161659827,0.8347251793203554,False,1024,1035,0,0,435,0,0,442,1.0,0,7,
T0_pristine,K2,R2,P4,K2/R2/P4,0.01,1024,512,296,0.0019569471624266144,0.12310476211907621,0.10454103526898255,0.1507961717365363,True,6800,0.0,52.77671461703944,0.0003727758338210317,0.767205171617157,False,1024,1033,0,0,435,0,0,437,1.0,0,14,
T0_pristine,K3,R2,P1,K3/R2/P1,0.01,1024,512,296,0.0019569471624266144,2916900428902.881,5.828497797338849e+32,-1.99818195355098e+20,False,200,2.220446049250313e-16,344348.77101256634,0.0003444219775683165,69864.05180272425,False,1021,964,0,0,441,5,0,66,nan,0,513,
T0_pristine,K3,R2,P2,K3/R2/P2,0.01,1024,512,296,0.0019569471624266144,545126.9530891606,5.213402225214388e+18,-9563647872610.59,False,200,2.220446049250313e-16,737.8204206927855,0.016396831473986576,1048.0311316788668,False,385,495,0,0,6,0,0,0,1.0,237,326,
T0_pristine,K3,R2,P3,K3/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.09013904723831914,0.07764797402112096,0.138575607352194,True,8800,2.220446049250313e-16,43.7146379742249,0.0003444219775683166,0.7522012797455053,False,1019,991,0,0,441,0,0,422,1.0,2,47,
T0_pristine,K3,R2,P4,K3/R2/P4,0.01,1024,512,296,0.0019569471624266144,0.09510937835597918,0.08336120120289948,0.12352280454518537,True,7600,2.220446049250313e-16,42.07859964099967,0.0003275302787193026,0.7306931067995509,False,1019,991,0,0,441,0,0,412,1.0,2,61,
T0_pristine,K4,R2,P1,K4/R2/P1,0.01,1024,512,296,0.0019569471624266144,255540471399.2355,4.750403286832453e+27,-1.8589631852916212e+16,False,200,2.220446049250313e-16,7689.854855810202,0.007539634410739967,3493.3767080239645,False,333,837,1,6,5,0,0,0,0.0,191,409,
T0_pristine,K4,R2,P2,K4/R2/P2,0.01,1024,512,296,0.0019569471624266144,0.015451445604883788,0.001536258898932937,0.9005750699179003,False,20000,2.220446049250313e-16,7.266659540214743,0.015048955492852878,0.9595821831093265,False,346,65,0,0,0,0,0,0,1.0,253,27,
T0_pristine,K4,R2,P3,K4/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.10872774034444105,0.08052142097275411,0.2594215540793132,False,20000,2.220446049250313e-16,10.161072354783991,0.007539634410739965,0.7730534113328055,False,325,48,1,6,5,0,0,0,0.0,191,15,
T0_pristine,K4,R2,P4,K4/R2/P4,0.01,1024,512,296,0.0019569471624266144,0.15488363710809083,0.1502401037216095,0.02998078733934093,False,20000,2.220446049250313e-16,7.205344788980822,0.00987762633126354,0.4346463524097538,False,325,107,1,6,5,0,0,0,0.0,191,48,
