case,K,R,P,protocol,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,seed
T0_pristine,K1,R2,P1,K1/R2/P1,400,96,56,0.010526315789473684,26241389132.470825,4.0548889269594735e+23,-15452264765746.465,False,200,1.4210854715202004e-16,46207.168868190114,0.0606032038535069,963.6085617953175,False,1032,315,0,0,0,0,0,0,1.0,942,147,0
T0_pristine,K1,R2,P2,K1/R2/P2,400,96,56,0.010526315789473684,0.18909928005395046,0.1367447676257871,0.27686256876930726,False,400,1.4210854715202004e-16,31.10348936008122,0.2354550785396269,0.5852545814124694,False,0,0,0,0,0,0,0,0,1.0,0,0,0
T0_pristine,K1,R2,P3,K1/R2/P3,400,96,56,0.010526315789473684,0.09311176459541327,0.08311622015535944,0.10734996252606967,False,400,1.4210854715202004e-16,19.582638348694832,0.060603203853506905,0.403817615215153,False,912,1145,0,0,0,0,0,0,1.0,852,978,0
T0_pristine,K1,R2,P4,K1/R2/P4,400,96,56,0.010526315789473684,0.11507580206808524,0.10777458036357503,0.06344706335559931,False,400,1.4210854715202004e-16,16.315457311927556,0.11361049468418999,0.3690833320390332,False,912,1186,0,0,0,0,0,0,1.0,852,1007,0
T0_pristine,K2,R2,P1,K2/R2/P1,400,96,56,0.010526315789473684,557959416271.7672,2.079707361715263e+29,-3.727345217348734e+17,False,200,0.0,87249.0466534238,0.5944087720767124,17988.751401475765,False,535,316,0,0,0,0,0,0,1.0,462,254,0
T0_pristine,K2,R2,P2,K2/R2/P2,400,96,56,0.010526315789473684,0.11710839195754005,0.08038706543754176,0.31356699469763305,False,400,0.0,23.518238595745295,0.28389628118901344,0.5954704937735371,False,0,0,0,0,0,0,0,0,1.0,0,0,0
T0_pristine,K2,R2,P3,K2/R2/P3,400,96,56,0.010526315789473684,0.08688937295674772,0.08046852814709153,0.07389677921662974,False,400,0.0,12.808486580400833,0.5944087720767125,0.49179913714344553,False,625,1318,0,0,0,0,0,0,1.0,549,1012,0
T0_pristine,K2,R2,P4,K2/R2/P4,400,96,56,0.010526315789473684,0.08688937295674772,0.08046852814709153,0.07389677921662974,False,400,0.0,12.808486580400833,0.5944087720767125,0.49179913714344553,False,625,1318,0,0,0,0,0,0,1.0,549,1012,0
T0_pristine,K3,R2,P1,K3/R2/P1,400,96,56,0.010526315789473684,730876958336.841,2.4122275381727305e+30,-3.3004564046757125e+18,False,200,1.4210854715202004e-16,88696.16463790539,0.6166048019800215,24912.66710176788,False,378,59,0,0,66,0,0,0,1.0,115,12,0
T0_pristine,K3,R2,P2,K3/R2/P2,400,96,56,0.010526315789473684,0.10599427363570818,0.07087970113496209,0.3312874488053138,False,400,1.4210854715202004e-16,23.17515574529645,0.2926488505442917,0.6111447055160284,False,0,0,0,0,0,0,0,0,1.0,0,0,0
T0_pristine,K3,R2,P3,K3/R2/P3,400,96,56,0.010526315789473684,0.08305604816333678,0.07996693525012445,0.03719311213961597,False,400,1.4210854715202004e-16,8.723224788219184,0.6166048019800214,0.3928209358824391,False,515,1322,0,0,0,0,0,0,1.0,262,1011,0
T0_pristine,K3,R2,P4,K3/R2/P4,400,96,56,0.010526315789473684,0.08305604816333678,0.07996693525012445,0.03719311213961597,False,400,1.4210854715202004e-16,8.723224788219184,0.6166048019800214,0.3928209358824391,False,515,1322,0,0,0,0,0,0,1.0,262,1011,0
T0_pristine,K4,R2,P1,K4/R2/P1,400,96,56,0.010526315789473684,6354203272.068825,7.1862506590558945e+19,-11309444080.911104,False,200,0.0,5363.081162040563,0.08400022157837918,125.53188774091113,False,1047,34,0,0,0,0,0,0,1.0,630,0,0
T0_pristine,K4,R2,P2,K4/R2/P2,400,96,56,0.010526315789473684,0.0,0.0,0.0,True,200,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0,1.0,0,0,0
T0_pristine,K4,R2,P3,K4/R2/P3,400,96,56,0.010526315789473684,0.08467466665073749,0.08255444567334387,0.025039614104877615,False,400,0.0,5.153061411298826,0.08400022157837918,0.22513696747885065,False,378,523,0,0,0,0,0,0,1.0,179,262,0
T0_pristine,K4,R2,P4,K4/R2/P4,400,96,56,0.010526315789473684,0.09179485702631561,0.09006575779498421,0.018836558902594083,False,400,0.0,4.8501827141779295,0.09357790165017518,0.20791178979890967,False,378,518,0,0,0,0,0,0,1.0,179,266,0
T0_pristine,K3,R1,P2,K3/R1/P2,400,96,56,0.010526315789473684,0.10599427363570818,0.07087970113496209,0.3312874488053138,False,400,1.4210854715202004e-16,23.17515574529645,0.2926488505442917,0.6111447055160284,True,0,0,0,0,0,0,0,0,1.0,0,0,0
T0_pristine,K3,R3,P2,K3/R3/P2,400,96,56,0.010526315789473684,2.49812697097533,2.498112958375879,5.609242289844727e-06,True,200,1.4210854715202004e-16,0.355168974736712,0.7574400370987576,0.004381893701024053,False,0,0,0,0,0,0,0,0,1.0,0,0,0
T1_vacancy,K1,R2,P1,K1/R2/P1,399,96,56,0.010526315789473684,26198865065.953888,4.021159345377715e+23,-15348601304882.688,False,200,1.4246470892433086e-16,46224.1993355663,0.060660801256939303,965.3890472886667,False,1034,315,0,0,0,0,0,0,1.0,944,144,0
T1_vacancy,K1,R2,P2,K1/R2/P2,399,96,56,0.010526315789473684,3.2109294131478396,0.33529719959352494,0.8955762782512195,False,200,1.4246470892433086e-16,33.71023105010944,0.4598619498144707,0.4853776777258656,False,2,4,0,0,0,0,0,0,1.0,0,0,0
T1_vacancy,K1,R2,P3,K1/R2/P3,399,96,56,0.010526315789473684,0.09313930263409752,0.08313183969897835,0.10744618707780107,False,400,1.4246470892433086e-16,19.59361119081472,0.060660801256939303,0.40392065002660726,False,915,1145,0,0,0,0,0,0,1.0,855,980,0
T1_vacancy,K1,R2,P4,K1/R2/P4,399,96,56,0.010526315789473684,0.11505367087222501,0.10772702028307911,0.06368028532772892,False,400,1.4246470892433086e-16,16.341720458803405,0.11332616154421865,0.3693993370315538,False,915,1189,0,0,0,0,0,0,1.0,855,1008,0
T1_vacancy,K2,R2,P1,K2/R2/P1,399,96,56,0.010526315789473684,557744439513.5155,2.0801316723273647e+29,-3.729542645269094e+17,False,200,0.0,87113.70771840209,0.593064113154976,18004.664758708495,False,533,317,0,0,0,0,0,0,1.0,460,255,0
T1_vacancy,K2,R2,P2,K2/R2/P2,399,96,56,0.010526315789473684,0.11948255931511763,0.08261205090991038,0.308584856371939,False,400,0.0,23.59948636423049,0.2802109345833466,0.5918084581775386,False,2957,0,0,0,0,0,0,0,1.0,1706,0,0
T1_vacancy,K2,R2,P3,K2/R2/P3,399,96,56,0.010526315789473684,0.08688187855316075,0.08047098687363438,0.0737885941957817,False,400,0.0,12.784437114572066,0.5930641131549759,0.4914781477306402,False,623,1324,0,0,0,0,0,0,1.0,547,1011,0
T1_vacancy,K2,R2,P4,K2/R2/P4,399,96,56,0.010526315789473684,0.08688187855316075,0.08047098687363438,0.0737885941957817,False,400,0.0,12.784437114572066,0.5930641131549759,0.4914781477306402,False,623,1324,0,0,0,0,0,0,1.0,547,1011,0
T1_vacancy,K3,R2,P1,K3/R2/P1,399,96,56,0.010526315789473684,731779430853.3096,2.4360631844412614e+30,-3.328958264925033e+18,False,200,0.0,88570.18842261397,0.6150152831985588,24978.849107142654,False,375,60,0,0,68,0,0,0,1.0,113,13,0
T1_vacancy,K3,R2,P2,K3/R2/P2,399,96,56,0.010526315789473684,0.10868319849254494,0.07268873265283451,0.3311870311047153,False,400,0.0,23.723191464369876,0.2967218011639243,0.6112336658662425,False,10,11,0,0,0,0,0,0,1.0,0,2,0
T1_vacancy,K3,R2,P3,K3/R2/P3,399,96,56,0.010526315789473684,0.08305206151596076,0.07996780648828242,0.03713640542306845,False,400,0.0,8.705952800673654,0.6150152831985587,0.39256085906262017,False,511,1324,0,0,0,0,0,0,1.0,259,1011,0
T1_vacancy,K3,R2,P4,K3/R2/P4,399,96,56,0.010526315789473684,0.08305206151596076,0.07996780648828242,0.03713640542306845,False,400,0.0,8.705952800673654,0.6150152831985587,0.39256085906262017,False,511,1324,0,0,0,0,0,0,1.0,259,1011,0
T1_vacancy,K4,R2,P1,K4/R2/P1,399,96,56,0.010526315789473684,6307108306.702186,7.1873333229665485e+19,-11395607896.40839,False,200,0.0,5365.315640942854,0.08373742049283818,125.86395715002946,False,1036,34,0,0,0,0,0,0,1.0,623,0,0
T1_vacancy,K4,R2,P2,K4/R2/P2,399,96,56,0.010526315789473684,0.00018784208519918787,0.00013400291921612865,0.28661929474413644,False,400,0.0,0.1684196210373502,0.05524088073625295,0.3241187967387469,False,0,282,0,0,0,0,0,0,1.0,0,232,0
T1_vacancy,K4,R2,P3,K4/R2/P3,399,96,56,0.010526315789473684,0.08467567956464951,0.0825590965300016,0.024996351319884157,False,400,0.0,5.144835012904626,0.08373742049283818,0.22488916363298558,False,370,526,0,0,0,0,0,0,1.0,173,267,0
T1_vacancy,K4,R2,P4,K4/R2/P4,399,96,56,0.010526315789473684,0.09160914498311423,0.08987348020845115,0.018946413864936805,False,400,0.0,4.847528173452329,0.09278436431285231,0.20810146222681514,False,370,516,0,0,0,0,0,0,1.0,173,269,0
T1_vacancy,K3,R1,P2,K3/R1/P2,399,96,56,0.010526315789473684,0.10644791083815276,0.06840721045352667,0.3573644619711188,False,400,0.0,23.967465944241773,0.3109909952397908,0.6239790071523187,True,9,6,0,0,0,0,0,0,1.0,1,0,0
T1_vacancy,K3,R3,P2,K3/R3/P2,399,96,56,0.010526315789473684,2.4981624858602514,2.498148485555272,5.604241140668847e-06,True,200,0.0,0.35417001696121675,0.7563410812788202,0.004380260443436827,False,0,0,0,0,0,0,0,0,1.0,0,0,0
