case,check,nx,dt,ring_l1,steps,F_init,F_final,rel_drop
T2,grid,384,1e-08,0.035634743875278395,2500,0.00959840568318899,0.004403668426495657,0.5412083452350417
T2,grid,512,1e-08,0.042316258351893093,2500,0.009590373467664764,0.0030693693763661958,0.6799530918462156
T2,grid,768,1e-08,0.008908685968819599,2500,0.009649778584364653,0.004417934309525117,0.5421724684249846
T2,dt,512,5e-09,0.044543429844097995,5000,0.009590373467664764,0.003070508610777581,0.6798343024773524
T2,dt,512,1e-08,0.042316258351893093,2500,0.009590373467664764,0.0030693693763661958,0.6799530918462156
T2,dt,512,2e-08,0.035634743875278395,1250,0.009590373467664764,0.003067089657561365,0.6801908009211037
T2,basin,512,1e-08,0.042316258351893093,2500,0.003218569248384321,-0.014354683354591256,5.459957902660356
T4,grid,384,1e-08,0.019553072625698324,2500,0.006004077565815648,0.0011297355754217291,0.8118386108377573
T4,grid,512,1e-08,0.0223463687150838,2500,0.005950406407808589,-0.00012438174184015507,1.0209030666673342
T4,grid,768,1e-08,0.05307262569832402,2500,0.005985106752513377,0.000594859476422108,0.9006100474026961
T4,dt,512,5e-09,0.019553072625698324,5000,0.005950406407808589,-0.00012255068359142123,1.0205953468036402
T4,dt,512,1e-08,0.0223463687150838,2500,0.005950406407808589,-0.00012438174184015507,1.0209030666673342
T4,dt,512,2e-08,0.0223463687150838,1250,0.005950406407808589,-0.0001280474649197564,1.0215191125015801
T4,basin,512,1e-08,0.1005586592178771,2500,4.270878280652861e-06,-0.03467284154317718,8119.433555047832
