case,checkpoint,step,free_energy
T2,0,0,0.009590373467664764
T2,1,250,0.008600394705572582
T2,2,500,0.007875114142830217
T2,3,750,0.007266305213917237
T2,4,1000,0.006713004118559494
T2,5,1250,0.006179288454282143
T2,6,1500,0.005640261015847806
T2,7,1750,0.005076430160786489
T2,8,2000,0.0044708398956193945
T2,9,2250,0.0038073391204727323
T2,10,2500,0.0030693693763661958
T4,0,0,0.005950406407808589
T4,1,250,0.005332445983006669
T4,2,500,0.004837136171982553
T4,3,750,0.0043813724906279095
T4,4,1000,0.003926679460367851
T4,5,1250,0.0034465730696753723
T4,6,1500,0.002919009198791152
T4,7,1750,0.0023227739217107617
T4,8,2000,0.0016351404337446931
T4,9,2250,0.0008299358374886335
T4,10,2500,-0.00012438174184015507
