case,protocol,lam,k1,n5_gt,n7_gt,ringL1_init,ringL1_relaxed,n5_init,n7_init,n5_relaxed,n7_relaxed,healthy,nmax
T0_pristine,K1/R2/P3,0.0,201.02205636781184,0,0,2.651685393258427,0.8179775280898877,0,0,0,0,True,0.8390940896527805
T0_pristine,K1/R2/P3,0.01,201.02205636781184,0,0,2.651685393258427,0.8269662921348314,0,0,1,0,True,0.838066092815823
T0_pristine,K2/R2/P3,0.0,201.02205636781184,0,0,0.02247191011235955,0.0,0,0,0,0,True,0.9222265881796605
T0_pristine,K2/R2/P3,0.01,201.02205636781184,0,0,0.02247191011235955,0.015730337078651686,0,0,0,0,True,0.9239961111175317
T0_pristine,K3/R2/P3,0.0,201.02205636781184,0,0,0.008988764044943821,0.02247191011235955,0,0,0,0,True,0.6926959648391875
T0_pristine,K3/R2/P3,0.01,201.02205636781184,0,0,0.008988764044943821,0.011235955056179775,0,0,0,0,True,0.6949767976120944
T0_pristine,K3/R2/P4,0.0,201.02205636781184,0,0,0.008988764044943821,0.008988764044943821,0,0,0,0,True,0.667150254660939
T0_pristine,K3/R2/P4,0.01,201.02205636781184,0,0,0.008988764044943821,0.017977528089887642,0,0,0,0,True,0.6696437325790774
T0_pristine,K4/R2/P3,0.0,201.02205636781184,0,0,1.5707865168539326,1.7775280898876404,1,6,2,0,True,1.0104233783613688
T0_pristine,K4/R2/P3,0.01,201.02205636781184,0,0,1.5707865168539326,1.7797752808988765,1,6,2,0,True,1.010441956105991
T1_vacancy,K1/R2/P3,0.0,201.02205636781184,0,0,2.892543859649123,0.7127192982456141,0,0,0,0,True,1.072955241309761
T1_vacancy,K1/R2/P3,0.01,201.02205636781184,0,0,2.892543859649123,0.7149122807017544,0,0,0,0,True,1.0705836326269482
T1_vacancy,K2/R2/P3,0.0,201.02205636781184,0,0,0.015350877192982455,0.019736842105263157,0,0,0,0,True,0.9212134474669074
T1_vacancy,K2/R2/P3,0.01,201.02205636781184,0,0,0.015350877192982455,0.0043859649122807015,0,0,0,0,True,0.9229909501315483
T1_vacancy,K3/R2/P3,0.0,201.02205636781184,0,0,0.03508771929824561,0.02631578947368421,0,0,0,0,True,0.6751691384234065
T1_vacancy,K3/R2/P3,0.01,201.02205636781184,0,0,0.03508771929824561,0.02631578947368421,0,0,0,0,True,0.6774428477956442
T1_vacancy,K3/R2/P4,0.0,201.02205636781184,0,0,0.03508771929824561,0.019736842105263157,0,0,0,0,True,0.6551980211193666
T1_vacancy,K3/R2/P4,0.01,201.02205636781184,0,0,0.03508771929824561,0.02631578947368421,0,0,0,0,True,0.6576363378554106
T1_vacancy,K4/R2/P3,0.0,201.02205636781184,0,0,1.4824561403508771,1.7543859649122806,0,4,3,3,True,1.1010466007031032
T1_vacancy,K4/R2/P3,0.01,201.02205636781184,0,0,1.4824561403508771,1.7609649122807018,0,4,3,3,True,1.1010238749407901
T2_stone_wales,K1/R2/P3,0.0,201.02205636781184,2,1,2.694877505567929,0.8396436525612472,2,0,4,0,True,0.7949934369709843
T2_stone_wales,K1/R2/P3,0.01,201.02205636781184,2,1,2.694877505567929,0.888641425389755,2,0,12,0,True,0.7939032467885305
T2_stone_wales,K2/R2/P3,0.0,201.02205636781184,2,1,0.0378619153674833,0.0400890868596882,2,1,1,0,True,0.9209777006817995
T2_stone_wales,K2/R2/P3,0.01,201.02205636781184,2,1,0.0378619153674833,0.013363028953229399,2,1,1,0,True,0.9225941637860593
T2_stone_wales,K3/R2/P3,0.0,201.02205636781184,2,1,0.0378619153674833,0.042316258351893093,2,1,1,0,True,0.7280676883420373
T2_stone_wales,K3/R2/P3,0.01,201.02205636781184,2,1,0.0378619153674833,0.035634743875278395,2,1,1,0,True,0.7302832255780973
T2_stone_wales,K3/R2/P4,0.0,201.02205636781184,2,1,0.0378619153674833,0.013363028953229399,2,1,1,0,True,0.692092685148069
T2_stone_wales,K3/R2/P4,0.01,201.02205636781184,2,1,0.0378619153674833,0.004454342984409799,2,1,1,0,True,0.6946090958670974
T2_stone_wales,K4/R2/P3,0.0,201.02205636781184,2,1,1.3697104677060135,1.530066815144766,1,5,3,1,True,1.0896231035680235
T2_stone_wales,K4/R2/P3,0.01,201.02205636781184,2,1,1.3697104677060135,1.530066815144766,1,5,3,1,True,1.0896299452117777
T3_dislocation_dipole,K1/R2/P3,0.0,226.1498134137883,0,0,2.292134831460674,1.9213483146067416,0,0,11,6,True,0.6465694954147705
T3_dislocation_dipole,K1/R2/P3,0.01,226.1498134137883,0,0,2.292134831460674,2.056179775280899,0,0,12,6,True,0.6466734931095722
T3_dislocation_dipole,K2/R2/P3,0.0,226.1498134137883,0,0,0.014044943820224719,0.0056179775280898875,0,0,0,0,True,1.2742609212305989
T3_dislocation_dipole,K2/R2/P3,0.01,226.1498134137883,0,0,0.014044943820224719,0.014044943820224719,0,0,0,0,True,1.2732383817437984
T3_dislocation_dipole,K3/R2/P3,0.0,226.1498134137883,0,0,0.008426966292134831,0.025280898876404494,0,0,0,0,True,0.8032880089683938
T3_dislocation_dipole,K3/R2/P3,0.01,226.1498134137883,0,0,0.008426966292134831,0.03089887640449438,0,0,0,0,True,0.8040347693122178
T3_dislocation_dipole,K3/R2/P4,0.0,226.1498134137883,0,0,0.008426966292134831,0.03089887640449438,0,0,0,0,True,0.734819321480735
T3_dislocation_dipole,K3/R2/P4,0.01,226.1498134137883,0,0,0.008426966292134831,0.033707865168539325,0,0,0,0,True,0.7362399413011271
