config,case,protocol,tier,c2_h1,c2_h2,w_ratio,ringL1_init,ringL1_relaxed,healthy,nmax
base,T0_pristine,K1/R2/P3,bad,1.05,0.6,0.1,2.651685393258427,0.8179775280898877,True,0.8390940896527805
base,T0_pristine,K2/R2/P3,good,1.05,0.6,0.1,0.02247191011235955,0.0,True,0.9222265881796605
base,T0_pristine,K3/R2/P3,good,1.05,0.6,0.1,0.008988764044943821,0.02247191011235955,True,0.6926959648391875
base,T0_pristine,K3/R2/P4,good,1.05,0.6,0.1,0.008988764044943821,0.008988764044943821,True,0.667150254660939
base,T0_pristine,K4/R2/P3,bad,1.05,0.6,0.1,1.5707865168539326,1.7775280898876404,True,1.0104233783613688
base,T1_vacancy,K1/R2/P3,bad,1.05,0.6,0.1,2.892543859649123,0.7127192982456141,True,1.072955241309761
base,T1_vacancy,K2/R2/P3,good,1.05,0.6,0.1,0.015350877192982455,0.019736842105263157,True,0.9212134474669074
base,T1_vacancy,K3/R2/P3,good,1.05,0.6,0.1,0.03508771929824561,0.02631578947368421,True,0.6751691384234065
base,T1_vacancy,K3/R2/P4,good,1.05,0.6,0.1,0.03508771929824561,0.019736842105263157,True,0.6551980211193666
base,T1_vacancy,K4/R2/P3,bad,1.05,0.6,0.1,1.4824561403508771,1.7543859649122806,True,1.1010466007031032
base,T2_stone_wales,K1/R2/P3,bad,1.05,0.6,0.1,2.694877505567929,0.8396436525612472,True,0.7949934369709843
base,T2_stone_wales,K2/R2/P3,good,1.05,0.6,0.1,0.0378619153674833,0.0400890868596882,True,0.9209777006817995
base,T2_stone_wales,K3/R2/P3,good,1.05,0.6,0.1,0.0378619153674833,0.042316258351893093,True,0.7280676883420373
base,T2_stone_wales,K3/R2/P4,good,1.05,0.6,0.1,0.0378619153674833,0.013363028953229399,True,0.692092685148069
base,T2_stone_wales,K4/R2/P3,bad,1.05,0.6,0.1,1.3697104677060135,1.530066815144766,True,1.0896231035680235
base,T3_dislocation_dipole,K1/R2/P3,bad,1.05,0.6,0.1,2.292134831460674,1.9213483146067416,True,0.6465694954147705
base,T3_dislocation_dipole,K2/R2/P3,good,1.05,0.6,0.1,0.014044943820224719,0.0056179775280898875,True,1.2742609212305989
base,T3_dislocation_dipole,K3/R2/P3,good,1.05,0.6,0.1,0.008426966292134831,0.025280898876404494,True,0.8032880089683938
base,T3_dislocation_dipole,K3/R2/P4,good,1.05,0.6,0.1,0.008426966292134831,0.03089887640449438,True,0.734819321480735
base,T3_dislocation_dipole,K4/R2/P3,bad,1.05,0.6,0.1,2.3230337078651684,2.615168539325843,True,0.9129533792912341
base,T4_low_angle_gb,K1/R2/P3,bad,1.05,0.6,0.1,2.2486033519553073,2.4329608938547485,True,0.5882847384883478
