case,protocol,tier,coordL1_init,coordL1_relaxed,n5_gt,n7_gt,n5_relaxed,n6_relaxed,n7_relaxed,healthy,nmax
TR0_pristine,K1/R2/P3,bad,0.016722408026755852,0.06020066889632107,0,0,0,634,0,True,0.8207757112523968
TR0_pristine,K2/R2/P3,good,0.021739130434782608,0.016722408026755852,0,0,0,608,0,True,0.6112912466551699
TR0_pristine,K3/R2/P3,good,0.021739130434782608,0.06020066889632107,0,0,0,634,0,True,0.404547292782732
TR0_pristine,K3/R2/P4,good,0.021739130434782608,0.06020066889632107,0,0,0,634,0,True,0.404547292782732
TR0_pristine,K4/R2/P3,bad,1.1638795986622072,1.4046822742474916,0,0,41,17,0,True,0.698735338406089
TR1_vacancy,K1/R2/P3,bad,0.016722408026755852,0.06020066889632107,0,0,0,634,0,True,0.8207757112523968
TR1_vacancy,K2/R2/P3,good,0.021739130434782608,0.016722408026755852,0,0,0,608,0,True,0.6112912466551699
TR1_vacancy,K3/R2/P3,good,0.021739130434782608,0.06020066889632107,0,0,0,634,0,True,0.404547292782732
TR1_vacancy,K3/R2/P4,good,0.021739130434782608,0.06020066889632107,0,0,0,634,0,True,0.404547292782732
TR1_vacancy,K4/R2/P3,bad,1.1638795986622072,1.4046822742474916,0,0,41,17,0,True,0.698735338406089
TR2_void,K1/R2/P3,bad,0.016835016835016835,0.0707070707070707,6,0,6,624,0,True,0.8202575368256622
TR2_void,K2/R2/P3,good,0.021885521885521887,0.016835016835016835,6,0,6,594,0,True,0.6114775712019119
TR2_void,K3/R2/P3,good,0.021885521885521887,0.0707070707070707,6,0,6,624,0,True,0.4040722281938255
TR2_void,K3/R2/P4,good,0.021885521885521887,0.0707070707070707,6,0,6,624,0,True,0.4040722281938255
TR2_void,K4/R2/P3,bad,1.1582491582491583,1.3888888888888888,6,0,45,17,0,True,0.6991505151198767
TR3_interstitial,K1/R2/P3,bad,0.024115755627009645,0.03215434083601286,1,3,0,634,0,True,0.8091216153593414
TR3_interstitial,K2/R2/P3,good,0.006430868167202572,0.024115755627009645,1,3,4,629,2,True,0.6114404459411849
TR3_interstitial,K3/R2/P3,good,0.006430868167202572,0.024115755627009645,1,3,4,629,2,True,0.29845509419316113
TR3_interstitial,K3/R2/P4,good,0.006430868167202572,0.024115755627009645,1,3,4,629,2,True,0.29845509419316113
TR3_interstitial,K4/R2/P3,bad,1.1559485530546625,1.4067524115755627,1,3,23,12,0,True,0.6965568998463219
